CellID,CD3,Vimentin,aSMA,Ecad,Ki67,CD45,CK14,CK19,CK17,PCNA,PanCK,CD31,cross_cluster,x,y,cell_type_tumor
7781,0.5628106607398274,0.4277895090758127,0.3572034441992631,0.6976625944328494,0.3100881919220108,0.4149711049745832,0.4658014645701178,0.8704068807192105,0.5130136812469867,0.5903563006541623,0.9056989623021794,0.1257820335131101,Proliferative Epithelial,1496.8515283842794,2101.288209606987,Proliferative Basal Epithelial
7782,0.4822498224951765,0.4001462499625028,0.3544926293614689,0.6398303696424807,0.145621559733878,0.350149186298924,0.3298559242056443,0.7771162368212652,0.6109614878322605,0.3349239745421131,0.8778354894105365,0.1330033219693475,Epithelial,1500.1307692307691,2342.123076923077,Epithelial
7783,0.6027399352069086,0.5058651786674736,0.3641687545637493,0.6352475053398353,0.2794271938178782,0.4405143217548676,0.4740906961878139,0.8986404173598019,0.5571538176281088,0.5524976464067192,0.9051156718569844,0.2328217815580939,Epithelial,1470.2633587786258,714.0419847328244,Proliferative Basal Epithelial
7784,0.7224700006356304,0.4574027369106633,0.3432271434286351,0.6605147306243899,0.2360044467920226,0.4180164610095054,0.4615071084895308,0.8780508863388644,0.5045397197383069,0.5200858526453955,0.8716331436079932,0.1434315901301013,Basal Epithelial,1471.38671875,754.06640625,Basal Epithelial
7787,0.5963182896444489,0.4397087158415654,0.3604923931730713,0.6253106728981428,0.2589837606921933,0.4127885046192973,0.4686526438082798,0.8581967142178777,0.6178870215377156,0.5550930236996576,0.8613148848819002,0.1371112935837399,Proliferative Epithelial,1478.752475247525,1135.9158415841584,Basal Epithelial
7788,0.8251159676858586,0.6618416881653008,0.3940138122727449,0.4997188394697117,0.301636679572506,0.7806008044604902,0.4679744140639514,0.5130555130717671,0.5429917602267376,0.578095413888991,0.4018689037293133,0.6259868456213948,CD8+ T-cells,1490.52,1711.02,T-cells
7789,0.6419319351279906,0.5480680024743717,0.2712982739777953,0.7394838886659506,0.3125081238167637,0.5324309272216392,0.4869449507485608,0.8571581382922284,0.6926616031292588,0.6753519510004331,0.8428607463755603,0.156388911202448,Proliferative Basal Epithelial,1488.8939393939395,1739.4848484848485,Proliferative Basal Epithelial
7792,0.5187866186070712,0.746647609947926,0.6439389155902125,0.4233424420635395,0.2709843276393178,0.5953728593829829,0.4477852583017583,0.5221458752093406,0.7064816551058116,0.4322486617712348,0.4250124708572966,0.7572850807764285,Endothelial,1469.8058252427184,600.9126213592233,Endothelial
7797,0.6624016857692294,0.629126795526231,0.329479139433094,0.7242227765614556,0.2581920210209317,0.4577896893213918,0.4682411841441796,0.9023616278204956,0.5733714756391904,0.4603598767679659,0.935301320553342,0.2266490082848209,Epithelial,1494.8785425101214,1984.6356275303644,Epithelial
7798,0.6868377507874187,0.4649942001043632,0.3395349195216565,0.6584353651576191,0.1845966681092435,0.4400667662308263,0.381459471676333,0.828189419081926,0.5532853367755625,0.3703994729684831,0.9009834549934236,0.112058168594655,Epithelial,1501.6045197740114,2302.254237288136,Basal Epithelial
7800,0.5443418308775348,0.4625645414700746,0.3295639171489219,0.6587352408102959,0.4653376916594995,0.4223020181194591,0.4552435697672689,0.8335842515725721,0.5502085261579345,0.6558771712714344,0.8437368305114593,0.1467202450580097,Proliferative Basal Epithelial,1477.8181818181818,1033.5,Proliferative Epithelial
7801,0.5187224680976984,0.4498372053146578,0.3773483454735862,0.6842521728750224,0.2852553636018835,0.4179172398117208,0.4868612632507917,0.8682104904384121,0.5014017752901165,0.6620579538002604,0.8535143347173163,0.1292556816622362,Proliferative Epithelial,1488.3072916666667,1526.53125,Proliferative Basal Epithelial
7804,0.6317685715256633,0.441109050015414,0.2756182334222999,0.6463183237783764,0.4248962509040936,0.4424501931405546,0.432168109037728,0.8967200827799885,0.5071488632909326,0.4846879549898883,0.92867563578275,0.1278313924224614,Proliferative Epithelial,1496.7435897435898,2074.923076923077,Proliferative Epithelial
